,FECHA_DOC,CVE_ART,COSTO_TOTAL_CALCULADO
162,2022-02-14,BL00053,73.84
163,2022-02-14,BN00232,299.62
164,2022-02-14,BP00246,95.16
165,2022-02-14,BP00247,310.77
166,2022-02-14,BP00248,290.42
167,2022-02-14,BN00115,150.74
168,2022-02-14,TUS00052,104.34
169,2022-02-14,TP0010,106.55
170,2022-02-14,CM12G2075A00,539.13
171,2022-02-14,RP00177,143.11
172,2022-02-15,TUS00111,85.71
173,2022-02-15,TUE00148,337.19
174,2022-02-15,TU5/16X230MM,226.23
175,2022-02-16,TP0002,102.71
176,2022-02-16,PT00057,789.1
177,2022-02-16,PT00082,2428.6
178,2022-02-16,TU5/16X203V,2606.27
179,2022-02-17,TUE00081,863.66
180,2022-02-17,TP0011,124.0
181,2022-02-17,TUA00280,175.18
182,2022-02-17,RP00178,12.4
183,2022-02-17,BO00053,5346.0
184,2022-02-17,P7J6C1D1A030,73.06
185,2022-02-18,TEA00092,7400.14
186,2022-02-18,TEA00093,7142.54
187,2022-02-18,PK14C1D1G300,280.17
188,2022-02-18,TT00007,379.5
189,2022-02-18,TT00008,693.49
190,2022-02-18,TU5/16X203V240W,225.21
191,2022-02-18,TEA00023,4592.74
192,2022-02-18,TP0001,77.92
193,2022-02-21,TU5/16X870J127V,227.18
194,2022-02-21,TEA00096,773.91
195,2022-02-21,TUA00025,1825.52
196,2022-02-22,TP0015,865.0
197,2022-02-22,RP00175,29.9
198,2022-02-22,TP0016,222.0
199,2022-02-22,TUS00112,949.4
200,2022-02-22,TUA00403,757.39
201,2022-02-22,BB1 1/2X1/2-300W,220.0
202,2022-02-22,BB1 1/2X1/2-300W,253.0
203,2022-02-22,TP0025,98.63
204,2022-02-23,TUE00146,9156.17
205,2022-02-23,BE00011,75.32
206,2022-02-23,BE00012,89.08
207,2022-02-23,BE00013,96.18
208,2022-02-23,BE00015,102.18
209,2022-02-23,BN00243,282.98
210,2022-02-23,BN00244,402.41
211,2022-02-23,BN00245,377.7
212,2022-02-23,BN00246,594.4
213,2022-02-23,BP00249,211.19
214,2022-02-23,PJ140FD1A000,109.64
215,2022-02-23,TUE00179,374.62
216,2022-02-23,RC00025,732.84
217,2022-02-23,CS58H1060A00,225.59
218,2022-02-23,CS58H1060A00,225.59
219,2022-02-23,TU5/16X870J127V,227.18
220,2022-02-24,CBS00101,1281.35
221,2022-02-24,TUA00427,2214.39
222,2022-02-24,TEA00006,1019.92
223,2022-02-24,TEE00017,2409.43
224,2022-02-24,CS12J2025A00,74.08
225,2022-02-25,TUE00207,1179.22
226,2022-02-25,TUE00207,1179.22
227,2022-02-25,TUE00207,1179.22
228,2022-02-25,TUE00207,1179.22
229,2022-02-25,TUE00207,1179.22
230,2022-02-25,TUE00332,676.56
231,2022-02-25,TP0009,320.27
232,2022-02-25,TP0010,213.1
233,2022-02-25,TP0040,274.96
234,2022-02-25,TEA00006,595.24
235,2022-02-25,CBS00056,500.47
236,2022-02-25,70001694,1276.19
237,2022-02-25,70001698,962.29
238,2022-02-25,70001692,795.85
239,2022-02-25,70001690,1288.78
240,2022-02-25,70001684,395.14
241,2022-02-25,P214F1AB0600,1839.19
242,2022-02-28,CS12F1040A00,355.8
243,2022-02-28,TUE00339,7342.41
244,2022-02-28,BP00206,881.41
245,2022-02-28,ECQ-00972,10182.84
246,2022-02-28,TUE00075,117.15
247,2022-02-28,CS12G1040A00,180.83
248,2022-02-28,TUS00113,139.11
249,2022-02-28,TUE00176,470.09
250,2022-02-28,PJ14F1L1A800,747.38
251,2022-02-28,TUE00132,559.98
252,2022-02-28,TUS00005,535.46
253,2022-02-28,TUE00338,139.69
254,2022-02-28,TUE00337,520.33
255,2022-02-28,TUS00029,144.69
256,2022-02-28,BB00017,208.27
257,2022-02-28,BB00018,688.35
258,2022-02-28,BN00002,375.4
259,2022-02-28,BN00003,415.77
260,2022-02-28,BL00038,1203.29
261,2022-02-28,PJ31Q1G3A100,710.93
262,2022-02-28,TUA00426,1349.52
263,2022-02-28,PK14G1D1G300,175.18
264,2022-02-28,TUE00075,175.24
265,2022-02-28,TUE00198,135.61
266,2022-03-01,BC00026,688.31
267,2022-03-02,TUE00307,946.71
268,2022-03-02,TUE00308,841.84
269,2022-03-02,PT00082,2428.6
270,2022-03-03,BS00006,5508.73
271,2022-03-03,BS00008,6802.89
272,2022-03-03,BB2X2ST,220.0
273,2022-03-03,RP00181,41.26
274,2022-03-03,TUE00337,520.33
275,2022-03-03,TK00028,156.48
276,2022-03-03,TP0008,211.36
277,2022-03-03,TP0040,137.48
278,2022-03-04,TUA00428,134.94
279,2022-03-04,TUA00143,3537.11
280,2022-03-04,TUA00102,370.94
281,2022-03-04,P7J6C1D1A030,73.06
282,2022-03-04,TUA00431,539.17
283,2022-03-07,TP0005,348.39
284,2022-03-07,TUE00007,435.26
285,2022-03-07,CS38F1010A00,269.88
286,2022-03-08,WRE-2137,610.68
287,2022-03-08,BN00242,304.73
288,2022-03-08,TUE00343,3857.05
289,2022-03-09,BO00056,216.65
290,2022-03-09,TEE00017,4985.4
291,2022-03-09,TP0011,143.8
292,2022-03-09,TU5/16X203V,3262.29
293,2022-03-09,TU5/16X230MM,212.44
294,2022-03-09,TUE00341,317.3
295,2022-03-09,TUE00341,317.3
296,2022-03-10,TUA00430,808.8
297,2022-03-10,CS14D2017B20,222.14
298,2022-03-10,TP0005,87.1
299,2022-03-10,TEA00006,2380.95
300,2022-03-10,TUE00042,8334.25
301,2022-03-10,TP0011,719.0
302,2022-03-11,RM00017,2644.78
303,2022-03-11,TUA00134,1819.85
304,2022-03-11,PT00063,1346.28
305,2022-03-11,TUA00432,1783.73
306,2022-03-11,BB1 1/2X1/2-300W,440.0
307,2022-03-11,TP0001,77.92
308,2022-03-11,TUA00371,417.45
309,2022-03-14,CAS00075,2617.65
310,2022-03-14,CAS00076,5266.17
311,2022-03-15,BB1 1/2X1/2-300W,220.0
312,2022-03-15,TUA00175,1509.17
313,2022-03-15,TUA00241,1305.27
314,2022-03-15,TU5/16X230MM,212.44
315,2022-03-15,TUA00222,716.01
316,2022-03-15,TUE00333,195.77
317,2022-03-15,TUA00421,2102.1
318,2022-03-16,TUE00103,497.3
319,2022-03-16,TP0012,220.69
320,2022-03-16,BB1 1/2X1/2-300W,220.0
321,2022-03-16,TUE00340,563.27
322,2022-03-16,BS00011,153.86
323,2022-03-16,TUA00124,1082.88
324,2022-03-16,TUS00115,420.72
325,2022-03-16,BL00022,112.11
326,2022-03-16,PT00047,4880.41
327,2022-03-16,ECQ-01444,1522.13
328,2022-03-17,TP0010,426.19
329,2022-03-17,TUA00429,1252.74
330,2022-03-17,TP0011,287.6
331,2022-03-17,TUA00419,327.61
332,2022-03-18,BE00016,60.56
333,2022-03-18,BL00054,349.45
334,2022-03-18,BO00058,1805.76
335,2022-03-18,TUE00207,1179.22
336,2022-03-18,TUA00422,319.43
337,2022-03-18,TUA00422,319.43
338,2022-03-18,TUA00424,417.02
339,2022-03-18,TUA00424,417.02
340,2022-03-22,BP00089,264.34
341,2022-03-22,TU5/16X230MM,212.44
342,2022-03-22,P114I1D4A000,197.3
343,2022-03-22,BP00257,389.9
344,2022-03-22,TP0001,77.92
345,2022-03-22,TP0002,102.71
346,2022-03-22,TP0001,77.92
347,2022-03-23,RP00165,5211.65
348,2022-03-23,TP0016,222.0
349,2022-03-23,TU5/16X230MM,400.6
350,2022-03-23,TP0005,870.97
351,2022-03-23,TUA00433,3102.37
352,2022-03-23,CBE00028,752.71
353,2022-03-23,TK00034,519.02
354,2022-03-23,BP00259,89.76
355,2022-03-23,BP00260,72.34
356,2022-03-23,TUA00200,5131.02
357,2022-03-23,TUE00161,233.93
358,2022-03-23,RP00182,2448.37
359,2022-03-23,TUA00099,3820.84
360,2022-03-23,PA00001,6978.64
361,2022-03-24,TR51G1125A00,97.0
362,2022-03-24,CS12E2040A00,286.12
363,2022-03-24,CS12F2040A00,353.34
364,2022-03-24,TK00063,686.66
365,2022-03-24,BL00001,50.94
366,2022-03-24,BP00258,45.28
367,2022-03-24,EE00003,14.76
368,2022-03-25,BOE00012,6822.37
369,2022-03-25,BOE00013,6981.76
370,2022-03-25,TP0008,211.36
371,2022-03-25,TP0022,410.21
372,2022-03-25,TP0001,38.96
373,2022-03-28,BO00005,3120.88
374,2022-03-28,TP0003,2215.69
375,2022-03-28,TP0003,142.5
376,2022-03-28,TEA00016,1420.68
377,2022-03-28,RP00184,102.22
378,2022-03-28,TEA00017,1506.97
379,2022-03-28,BN00248,779.66
380,2022-03-28,BN00249,344.57
381,2022-03-28,BN00250,310.03
382,2022-03-28,BN00251,177.36
383,2022-03-29,BP00149,649.37
384,2022-03-29,BP00150,854.65
385,2022-03-29,BE00011,75.32
386,2022-03-29,BE00012,89.08
387,2022-03-29,BE00013,96.18
388,2022-03-29,BE00015,102.18
389,2022-03-29,TP0003,72.37
390,2022-03-29,BB1 1/2X1/2-300W,220.0
391,2022-03-29,TUS00116,64.91
392,2022-03-29,TUS00118,258.43
393,2022-03-29,TP0015,173.0
394,2022-03-29,TUE00319,12855.68
395,2022-03-30,151.7208,782.48
396,2022-03-30,TUA00096,116.73
397,2022-03-30,TP0024,145.47
398,2022-03-30,TP0022,410.21
399,2022-03-30,TUE00025,316.4
400,2022-03-30,MA00016,6.69
401,2022-03-31,RP00180,24.0
402,2022-03-31,RP00171,258.21
403,2022-03-31,BOBINA001,20448.01
404,2022-03-31,BB1 1/2X1/2-300W,220.0
405,2022-03-31,TUA00219,5369.65
406,2022-03-31,TUS00020,323.44
407,2022-03-31,TUA00434,244.91
408,2022-03-31,CS12F1040A00,533.7
409,2022-03-31,CS12H1050A00,547.28
410,2022-03-31,ECQ-00972,9152.38
411,2022-03-31,ECQ-01444,736.48
412,2022-03-31,ECQ-00972,3567.53
413,2022-03-31,ECQ-01444,2373.3
414,2022-03-31,TP00019,4249.74
415,2022-03-31,TUE00162,1034.72
416,2022-03-31,TUE00348,1221.53
417,2022-03-31,TUE00105,1306.63
418,2022-03-31,TUS00035,266.21
419,2022-03-31,GAB00014,1516.24
420,2022-03-31,TUA00376,5870.53
421,2022-04-01,TP0040,137.48
422,2022-04-04,TP0001,42.79
423,2022-04-04,BP00251,112.24
424,2022-04-04,BP00252,111.07
425,2022-04-04,BP00253,112.24
426,2022-04-04,BP00254,59.54
427,2022-04-04,BP00255,110.37
428,2022-04-04,BP00256,110.37
429,2022-04-05,RP00187,90.16
430,2022-04-05,TUS00002,319.57
431,2022-04-05,TUS00001,633.46
432,2022-04-05,TUE00081,359.16
433,2022-04-05,TUA00175,1509.17
434,2022-04-05,TUS00117,165.15
435,2022-04-05,BC00010,720.65
436,2022-04-06,RP00150,0.72
437,2022-04-06,BB1 1/2X1/2-300W,220.0
438,2022-04-06,MR01934,646.92
439,2022-04-06,BN00064,94.49
440,2022-04-06,TP0026,113.59
441,2022-04-07,TUS00017,459.5
442,2022-04-07,TUS00018,295.92
443,2022-04-07,TP0002,51.36
444,2022-04-07,E1041959,5083.38
445,2022-04-07,BC00006,4563.71
446,2022-04-07,P231A1D6K200,1257.53
447,2022-04-07,65014-38,735.34
448,2022-04-07,TUA00435,1511.46
449,2022-04-07,CM10E2050A00,70.86
450,2022-04-08,TUA00420,3660.03
451,2022-04-08,EE00026,94.84
452,2022-04-08,TU5/16X203V,321.87
453,2022-04-11,TP0011,288.8
454,2022-04-11,TP0012,50.54
455,2022-04-11,TUA00017,1229.62
456,2022-04-11,TJ00046,204.07
457,2022-04-11,TP0024,48.49
458,2022-04-11,TUE00342,722.38
459,2022-04-11,TUE00103,497.3
460,2022-04-12,PJ14F10B0600,775.73
461,2022-04-12,PJ14J10B0600,404.78
462,2022-04-12,TUA00148,1125.85
463,2022-04-13,TUE00132,432.3
464,2022-04-13,P114Q1H90412,3965.36
465,2022-04-13,TUS00119,48.21
466,2022-04-13,TUA00087,2869.44
467,2022-04-13,TUE00345,133.09
468,2022-04-13,TUE00248,963.82
469,2022-04-13,TJ00090,403.47
470,2022-04-13,TUE00351,148.76
471,2022-04-13,TUE00352,148.76
472,2022-04-13,E1041968,2779.23
473,2022-04-18,RP00183,7.6
474,2022-04-19,RP00137,107.68
475,2022-04-19,TUA00124,1943.52
476,2022-04-19,TP0012,202.16
477,2022-04-19,TUE00207,1974.74
478,2022-04-19,RC00027,123.23
479,2022-04-20,TUE00172,4045.07
480,2022-04-20,PT00082,2428.6
481,2022-04-21,TP0002,135.14
482,2022-04-21,TUE00350,223.66
483,2022-04-21,BN00252,367.86
484,2022-04-21,TUA00436,1667.21
485,2022-04-21,CAE00039,1685.48
486,2022-04-21,TEA00099,1305.87
487,2022-04-21,BC00027,797.54
488,2022-04-21,TUA00099,3959.26
489,2022-04-21,TP0001,42.79
490,2022-04-22,CM10D2025A00,201.92
491,2022-04-22,CM10D2030A00,134.42
492,2022-04-22,TP0004,172.46
493,2022-04-22,TP0024,48.49
494,2022-04-22,BL00055,213.87
495,2022-04-22,TJ00043,48.85
496,2022-04-22,TJ00043,146.54
497,2022-04-25,TUS00003,461.36
498,2022-04-25,BB1 1/2X1/2-300W,220.0
499,2022-04-25,E1041960,4218.97
500,2022-04-25,CS14E1020A00,28.9
501,2022-04-25,P231F1H6AB00,1342.97
502,2022-04-25,TUA00079,747.21
503,2022-04-25,TUE00319,12855.68
504,2022-04-26,TUE00248,963.82
505,2022-04-26,TP0003,723.67
506,2022-04-26,BO00059,796.86
507,2022-04-26,CAE00039,1685.48
508,2022-04-26,TUA00412,286.18
509,2022-04-26,TUA00440,148.02
510,2022-04-26,TUS00120,38.92
511,2022-04-26,TP0002,102.71
512,2022-04-27,TUA00124,1035.28
513,2022-04-27,RM00038,921.37
514,2022-04-27,TUA00376,5870.53
515,2022-04-27,TP0025,382.32
516,2022-04-27,TUS00048,36.0
517,2022-04-27,TUE00258,67.21
518,2022-04-27,TP00011,1529.93
519,2022-04-27,TUE00261,3472.99
520,2022-04-28,TUA00437,485.55
521,2022-04-28,TUE00336,722.34
522,2022-04-28,PT00083,2592.94
523,2022-04-28,PA00001,7248.18
524,2022-04-29,TP0011,144.4
525,2022-04-29,BP00261,841.63
526,2022-04-29,TUA00438,567.27
527,2022-04-29,TP0011,144.4
528,2022-04-29,TP0012,101.08
529,2022-04-29,CAE00040,3998.41
530,2022-04-29,TUE00034,1009.05
531,2022-04-29,ECQ-00971,2619.0
532,2022-04-29,ECQ-01444,3409.48
533,2022-04-29,ECQ-00972,11742.95
534,2022-04-29,ECQ-01444,7911.01
535,2022-04-29,TUE00344,928.07
536,2022-05-02,CS38C1008A00,618.84
537,2022-05-02,BB00095,85.97
538,2022-05-03,PT31B1D5A400,22.03
539,2022-05-03,TP0025,460.41
540,2022-05-03,TP0016,222.0
541,2022-05-03,RM00022,33.79
542,2022-05-04,TK00062,225.28
543,2022-05-04,TP0011,722.0
544,2022-05-04,TP0012,50.54
545,2022-05-04,BP00260,72.34
546,2022-05-04,E1041960,3586.12
547,2022-05-04,TUA00021,4673.63
548,2022-05-04,TUA00009,4193.61
549,2022-05-04,TP0001,42.79
550,2022-05-05,TUA00258,1915.76
551,2022-05-05,BN00254,291.71
552,2022-05-05,TP0025,986.31
553,2022-05-05,TUA00441,406.12
554,2022-05-05,BP00215,97.53
555,2022-05-05,RP00191,10.7
556,2022-05-05,TP0025,98.63
557,2022-05-06,RC00013,136.98
558,2022-05-06,EE00021,4455.7
559,2022-05-06,TUA00442,610.62
560,2022-05-06,TP0025,1363.68
561,2022-05-09,RP00195,42.35
562,2022-05-09,RM00022,135.17
563,2022-05-09,RP00194,3.8
564,2022-05-09,TUA00443,344.32
565,2022-05-09,TEA00006,2637.36
566,2022-05-09,RC00012,1344.78
567,2022-05-09,TU5/16X230MM,200.3
568,2022-05-09,EE00055,565.29
569,2022-05-10,TEA00096,773.91
570,2022-05-10,PT00083,2389.27
571,2022-05-10,TEA00100,681.25
572,2022-05-11,TP0002,62.82
573,2022-05-11,CS12D2040A01,101.4
574,2022-05-11,TUA00439,483.67
575,2022-05-11,TEA00099,1305.87
576,2022-05-11,TP0011,722.0
577,2022-05-11,TP0002,125.64
578,2022-05-11,TJ00063,461.74
579,2022-05-11,PK31A1I1A000,1434.11
580,2022-05-12,BC00027,1595.08
581,2022-05-12,BB00101,73.04
582,2022-05-12,TUE00081,701.72
583,2022-05-12,CAE00011,352.13
584,2022-05-12,RP00197,1368.31
585,2022-05-12,TUS00121,33.75
586,2022-05-13,BP00263,80.09
587,2022-05-13,TU5/16X870J127V,454.37
588,2022-05-13,RP00196,5301.49
589,2022-05-13,CS58M2050A11,344.27
590,2022-05-13,PJ000GE1A400,116.73
591,2022-05-17,TP00021,330.09
592,2022-05-17,TP00022,453.27
593,2022-05-17,BB1 1/2X1/2-300W,253.0
594,2022-05-17,93980461,1261.99
595,2022-05-17,93980461,1261.99
596,2022-05-17,54020219,2135.98
597,2022-05-17,54020219,2261.08
598,2022-05-18,TUA00131,6183.72
599,2022-05-18,RP00193,518.74
600,2022-05-19,TUE00353,60.64
601,2022-05-19,TUE00207,2742.7
602,2022-05-19,TUE00354,295.91
603,2022-05-19,PJ000GH1A000,412.22
604,2022-05-19,PJ000GJ1A000,726.18
605,2022-05-19,PT00084,1199.64
606,2022-05-20,PT00010,671.87
607,2022-05-20,TUA00127,1183.69
608,2022-05-20,TUA00321,2239.06
609,2022-05-20,MR01934,331.9
610,2022-05-23,TP0001,128.38
611,2022-05-23,RP00002,4434.97
612,2022-05-23,ECQ-01444,3224.57
613,2022-05-23,TUA00311,324.05
614,2022-05-23,TUE00068,1141.51
615,2022-05-24,CAS00080,14643.92
616,2022-05-25,TUS00090,170.19
617,2022-05-25,TEA00058,3634.36
618,2022-05-25,BB1 1/2X1/2-300W,253.0
619,2022-05-26,70001694,1516.01
620,2022-05-26,70001692,909.55
621,2022-05-26,70001684,692.44
622,2022-05-26,RP00198,168.7
623,2022-05-26,CAS00034,1174.89
624,2022-05-26,TP0003,155.15
625,2022-05-26,TP0022,9392.95
626,2022-05-26,TEA00101,149.98
627,2022-05-27,TP0016,444.0
628,2022-05-27,TUS00122,61.3
629,2022-05-27,TUS00122,91.95
630,2022-05-27,TP0005,97.49
631,2022-05-27,CS58G1030A00,229.29
632,2022-05-30,TU5/16X203V,965.61
633,2022-05-31,BP00264,208.8
634,2022-05-31,CAS00043,130.94
635,2022-05-31,47980249,1725.78
636,2022-05-31,47980626,1885.91
637,2022-05-31,MR8-250-11-13,320.04
638,2022-05-31,TUA00449,2840.53
639,2022-05-31,TUA00450,1472.41
640,2022-05-31,TUA00049,2446.31
641,2022-05-31,CBE00012,1707.07
642,2022-05-31,CBE00040,1068.83
643,2022-05-31,TK00065,124.56
644,2022-06-01,TP0040,171.87
645,2022-06-01,47980075,9760.13
646,2022-06-02,47980249,4735.23
647,2022-06-02,CAS00079,374.39
648,2022-06-02,TUE00101,407.85
649,2022-06-02,AK00012,467.13
650,2022-06-02,TUA00445,1696.61
651,2022-06-02,CBE00039,208.61
652,2022-06-02,TJ00091,119.54
653,2022-06-03,TU5/16X230MM,400.6
654,2022-06-03,TUE00146,9577.26
655,2022-06-06,TUA00325,3900.52
656,2022-06-06,BN00256,159.57
657,2022-06-06,BN00257,167.44
658,2022-06-06,BP00263,80.09
659,2022-06-06,BB1 1/2X1/2-300W,253.0
660,2022-06-07,RP00201,55.83
661,2022-06-07,BB1 1/2X1/2-300W,253.0
662,2022-06-07,TUA00436,3994.81
663,2022-06-08,TU5/16X230MM,200.3
664,2022-06-09,RP00202,7.6
665,2022-06-09,CS58P2120A01,2062.24
666,2022-06-09,BOBINA001,11343.64
667,2022-06-09,TUA00444,602.39
668,2022-06-09,CS14D2017B20,136.67
669,2022-06-09,TP0011,542.76
670,2022-06-09,TP0012,219.2
671,2022-06-09,TP0006,1728.0
672,2022-06-10,RP00203,199335.56
673,2022-06-10,TUE00362,95.4
674,2022-06-10,TEE00027,1435.32
675,2022-06-10,TU5/16X230MM,200.3
676,2022-06-13,TP0001,42.79
677,2022-06-13,TUA00438,562.77
678,2022-06-13,TUA00439,967.34
679,2022-06-14,TUS00005,699.77
680,2022-06-14,TU5/16X203V,965.61
681,2022-06-14,BO00061,539.86
682,2022-06-14,TUE00363,752.71
683,2022-06-15,CS14D2017B20,333.2
684,2022-06-15,BB1 1/2X1/2-300W,253.0
685,2022-06-15,BO00064,14.4
686,2022-06-16,BO00062,432.37
687,2022-06-16,CBS00098,1443.18
688,2022-06-16,TP0011,135.69
689,2022-06-16,ECQ-00972,7105.79
690,2022-06-16,ECQ-00974,2930.59
691,2022-06-16,TP0025,92.33
692,2022-06-16,TUA00446,227.74
693,2022-06-17,CAS00068,131.25
694,2022-06-17,CAS00069,1309.94
695,2022-06-17,CAS00070,47.53
696,2022-06-17,CAS00071,135.37
697,2022-06-17,TP0002,314.09
698,2022-06-17,TP0003,387.87
699,2022-06-17,TUA00124,668.43
700,2022-06-17,PK51H1JBA600,3340.17
701,2022-06-17,TEE00028,2289.82
702,2022-06-17,TUS00123,1542.56
703,2022-06-17,CAS00081,395.26
704,2022-06-17,TP0024,48.49
705,2022-06-20,TP0012,109.6
706,2022-06-20,BN00258,172.35
707,2022-06-21,TUA00447,3776.75
708,2022-06-21,TUA00448,3574.62
709,2022-06-21,TUE00362,48.03
710,2022-06-21,TP0009,205.2
711,2022-06-21,TP0011,542.76
712,2022-06-21,TP0012,219.2
